Model,Train Time,Train Accuracy,Test Accuracy
knn,0.9682008425394694,0.9271276267948481,0.9043628296771014
logisticregression,0.2450559933980306,0.9103654403155235,0.9104017747103771
decisiontreeclassifier,0.21459587415059408,0.9175756455290565,0.9128666502341631
svc,72.2146091858546,0.9285758304061132,0.9104017747103771
